date        open    high    low     close   volume  oi
11/01/1985  115.48  116.78  115.48  116.28  900900  0
11/04/1985  116.28  117.07  115.82  116.04  753400  0
11/05/1985  116.04  116.57  115.88  116.44  876800  0
11/06/1985  116.44  117.62  116.44  117.38  935000  0
11/07/1985  117.38  117.96  117.38  117.62  886400  0
11/08/1985  117.62  119.39  117.58  119.26  867600  0
11/11/1985  119.26  120.54  119.18  120.40  803900  0
11/12/1985  120.39  122.01  120.39  121.82  1083000 0
11/13/1985  121.82  121.92  120.90  121.17  932100  0
11/14/1985  121.17  121.92  120.80  121.83  980400  0
11/15/1985  121.83  123.10  121.79  122.18  952700  0
11/18/1985  122.18  122.28  121.73  121.96  822100  0
11/19/1985  121.96  122.80  121.74  122.57  1018000 0
11/20/1985  122.57  122.79  122.20  122.20  976000  0
11/21/1985  122.20  123.81  122.20  123.61  1199000 0
11/22/1985  123.61  124.33  123.44  123.97  1042000 0
11/25/1985  123.97  124.17  122.82  123.14  834300  0
11/26/1985  123.14  124.25  123.09  123.95  936300  0
11/27/1985  123.95  125.88  123.88  125.77  1033000 0
11/29/1985  125.77  126.43  125.52  126.06  575900  0
12/02/1985  126.06  126.28  124.86  125.18  857600  0
12/03/1985  125.18  125.42  124.72  125.23  845400  0

01/31/1986  132.19  133.22  132.03  132.93  1093000 0
02/03/1986  132.93  134.43  132.93  134.24  1076000 0
02/04/1986  134.24  135.69  134.24  134.60  1253000 0
02/05/1986  134.60  135.79  134.60  135.71  1053000 0
02/06/1986  135.71  136.94  135.57  136.64  1197000 0
02/07/1986  136.47  137.49  135.74  137.42  1111000 0
02/10/1986  137.40  138.24  137.30  138.13  1074000 0
02/11/1986  138.13  138.61  137.85  138.26  1133000 0
02/12/1986  138.26  138.76  138.04  138.66  1222000 0
02/13/1986  138.66  139.29  138.45  139.16  1286000 0
02/14/1986  139.16  140.63  139.16  140.16  1224000 0
02/18/1986  140.16  140.76  139.99  140.74  1260000 0
02/19/1986  140.74  140.92  139.59  139.64  1369000 0
